frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
193,1,2089.947106762134 1501.4692393334317 2775.115315395788 2078.098656020148,2328.580810546875 1860.983642578125 2578.1455078125 1956.400634765625,0.6485264301300049,AP05JEO,0.9397423691521372
194,1,2091.6801118096932 1506.5634663217093 2779.18388681642 2084.7212455194567,2330.7225952148438 1867.4546813964844 2580.0763549804688 1963.2311096191406,0,0,0
195,1,2093.413116857252 1511.6576933099866 2783.2524582370525 2091.3438350187657,2332.8643798828125 1873.9257202148438 2582.0072021484375 1970.0615844726562,0,0,0
196,1,2095.1461219048115 1516.751920298264 2787.3210296576844 2097.9664245180747,2335.0061645507812 1880.3967590332031 2583.9380493164062 1976.8920593261719,0,0,0
197,1,2096.879126952371 1521.8461472865415 2791.3896010783164 2104.5890140173833,2337.14794921875 1886.8677978515625 2585.868896484375 1983.7225341796875,0.6366838216781616,AP05JEO,0.2152477232593205
198,1,2098.0375363273074 1529.7670404108417 2802.4451054452716 2115.488546781479,2334.83642578125 1900.1905517578125 2592.816650390625 1992.6932373046875,0.6126853823661804,AP05JEQ,0.19967817087477222
199,1,2099.50022342408 1535.333939929722 2809.4115143588815 2122.6196049291807,2338.3212890625 1904.72802734375 2604.328857421875 2009.51416015625,0.6456480622291565,AP05JEO,0.18470122982492868
200,1,2097.686491724859 1540.142941032278 2812.513578163757 2128.486783699085,2342.543212890625 1916.418212890625 2598.7333984375 2009.4595947265625,0.6184746623039246,AP05JEO,0.5193689239417324
201,1,2098.6858035291893 1546.481240103008 2817.6736832285474 2133.120669084844,2345.358154296875 1924.4462890625 2603.9041341145835 2018.8092651367188,0,0,0
202,1,2099.685115333519 1552.819539173738 2822.8337882933383 2137.754554470602,2348.173095703125 1932.474365234375 2609.0748697916665 2028.158935546875,0,0,0
203,1,2100.6844271378495 1559.1578382444677 2827.993893358129 2142.3884398563605,2350.988037109375 1940.50244140625 2614.24560546875 2037.5086059570312,0,0,0
204,1,2101.68373894218 1565.4961373151978 2833.1539984229194 2147.022325242119,2353.802978515625 1948.530517578125 2619.4163411458335 2046.8582763671875,0,0,0
205,1,2102.6830507465097 1571.8344363859278 2838.3141034877103 2151.656210627878,2356.617919921875 1956.55859375 2624.5870768229165 2056.2079467773438,0,0,0
206,1,2103.68236255084 1578.1727354566576 2843.474208552501 2156.2900960136362,2359.432861328125 1964.586669921875 2629.7578125 2065.5576171875,0.6379594206809998,AP05JEO,0.26047469418620894
207,1,2102.586326567577 1584.793839944942 2848.106981385956 2156.996580638423,2359.5078125 1971.0997314453125 2626.62060546875 2069.2830810546875,0,0,0
208,1,2101.4902905843137 1591.4149444332263 2852.739754219411 2157.7030652632097,2359.582763671875 1977.61279296875 2623.4833984375 2073.008544921875,0.6612511277198792,AP05JEQ,0.4260387744200767
209,1,2104.579159205599 1596.8801001443237 2856.9410058224785 2155.625722770302,2363.57861328125 1986.1497802734375 2630.0182291666665 2081.3118489583335,0,0,0
210,1,2107.6680278268836 1602.3452558554209 2861.1422574255457 2153.5483802773947,2367.574462890625 1994.686767578125 2636.5530598958335 2089.6151529947915,0,0,0
211,1,2110.756896448169 1607.8104115665183 2865.343509028613 2151.471037784487,2371.5703125 2003.2237548828125 2643.087890625 2097.91845703125,0.6551539301872253,AP05JEO,0.3997114236821712
212,1,2108.8221273862814 1612.7896304227322 2862.6132420719373 2153.9374194831726,2387.3505859375 2024.0537109375 2642.508544921875 2104.212158203125,0.6750888824462891,AP05JEO,0.49485578269515174
8,3,718.9466932406232 1413.3503299268427 1422.0396020865915 2057.8416460035796,938.5704345703125 1834.7464599609375 1173.2259521484375 1913.312255859375,0.6584987640380859,NA13NRU,0.3426898496917181
9,3,713.6334262154954 1419.3810725513745 1418.9328835503827 2065.698802169826,936.7922668457031 1841.51123046875 1171.9204711914062 1922.7112426757812,0,0,0
10,3,708.3201591903677 1425.4118151759062 1415.826165014174 2073.5559583360723,935.0140991210938 1848.2760009765625 1170.614990234375 1932.1102294921875,0,0,0
11,3,703.0068921652401 1431.442557800438 1412.7194464779654 2081.413114502319,933.2359313964844 1855.040771484375 1169.3095092773438 1941.5092163085938,0,0,0
12,3,697.6936251401123 1437.4733004249697 1409.6127279417567 2089.2702706685654,931.457763671875 1861.8055419921875 1168.0040283203125 1950.908203125,0,0,0
13,3,692.3803581149846 1443.5040430495014 1406.506009405548 2097.1274268348116,929.6795959472656 1868.5703125 1166.6985473632812 1960.3071899414062,0,0,0
14,3,687.0670910898568 1449.5347856740332 1403.3992908693392 2104.984583001058,927.9014282226562 1875.3350830078125 1165.39306640625 1969.7061767578125,0.666191577911377,NA13NRU,0.25236446016750225
4,5,2191.6478133024234 1176.8233812055441 2791.0935314385447 1764.0777819169275,2414.992919921875 1582.455322265625 2582.294677734375 1652.178955078125,0.5984618067741394,HW51NSU,0.2572243236964662
5,5,2192.436589531672 1179.9933754334932 2798.4531626477806 1770.2422507308308,2417.578369140625 1588.3872802734375 2584.62822265625 1658.2210693359375,0,0,0
