frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
102,1.0,[2057.4449219011685 1100.4607720241547 2558.4228202696395 1540.7635725948116],[2229.733154296875 1379.069580078125 2410.521240234375 1444.5037841796875],0.5465619564056396,AP05JEO,0.3021598824940366
103,1.0,[2056.438850348495 1103.9231691172256 2558.841895114316 1546.0709767731835],[2208.829833984375 1382.10498046875 2369.562744140625 1444.0650634765625],0.277940571308136,AP05JEO,0.6020312363047259
104,1.0,[2054.375947164393 1107.5211240763128 2558.805893138409 1549.7580398531136],[2221.315673828125 1387.447998046875 2413.243896484375 1459.3804931640625],0.5579121708869934,AP05JEO,0.48053481506405454
105,1.0,[2055.059844287442 1110.6361158996851 2560.5917296169423 1553.4479926037452],[2222.0595703125 1394.8963623046875 2413.867431640625 1461.6104736328125],0.5209181308746338,AP05JEO,0.22932293579459945
106,1.0,[2054.684654989597 1112.6961875966517 2560.4271548544093 1555.77600524729],[2214.5302734375 1399.0692138671875 2392.688232421875 1461.08740234375],0.4082432985305786,AP05JEO,0.2626959207333901
107,8.0,[1164.6085017834027 1049.566220031391 1631.1980330532776 1449.0456843600805],[1314.890625 1281.901611328125 1468.7347412109375 1350.298828125],0.49434608221054077,KH05ZZN,0.19415073764505958
108,1.0,[2054.7652127497727 1119.074399139485 2562.7365008795973 1562.8789135337813],[2234.787841796875 1410.572509765625 2411.5498046875 1475.2471923828125],0.5399513244628906,AP05JEO,0.5236323965548774
110,1.0,[2055.3167734749204 1126.7327658600836 2564.1846674567632 1573.0558070496916],[2226.715576171875 1415.3785400390625 2387.151123046875 1480.224609375],0.3878380358219147,AP05JEO,0.27511980666621627
111,1.0,[2054.0963580922485 1129.1088068406546 2565.5637221306647 1576.3606235857458],[2237.408935546875 1417.3018798828125 2416.48681640625 1483.184326171875],0.4989638328552246,AF05JEO,0.7264377659944024
114,1.0,[2056.0402411668692 1138.5594211210325 2576.5249892157854 1587.9939652893138],[2230.415771484375 1425.0465087890625 2420.04052734375 1497.7012939453125],0.5522564649581909,AF05JEO,0.42270782996198103
115,1.0,[2054.236091565799 1140.1710885238829 2577.405674994825 1591.1431608033015],[2228.701904296875 1428.1787109375 2431.29638671875 1506.292236328125],0.5194105505943298,AF05JEO,0.24704633217010485
116,1.0,[2055.29120554974 1142.1082798048396 2580.8677601521313 1595.7651718876014],[2228.46533203125 1431.064697265625 2440.094482421875 1511.0042724609375],0.517829954624176,AF05JEO,0.15132630571893133
