                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.85393,                 5.7097,                0.63031,                 0.6808,                 1.2052,                0.94794,                0.95857,                0.96254,                0.74918,                0.71872,                0.60526,                0.54106,                  0.195,                 1.0218,                  5.242,                0.62346,                0.77399,                 1.3069,                0.00074,                0.00074,                0.00074
                     23,                0.84205,                 5.3454,                0.63627,                0.67803,                 1.2146,                0.97252,                0.97368,                0.98512,                 0.7287,                0.70799,                0.71053,                0.62287,                0.20455,                 1.1499,                 5.0048,                0.62589,                0.76104,                 1.4297,                0.00068,                0.00068,                0.00068
                     24,                 0.7411,                 4.5145,                0.61065,                0.59983,                 1.1469,                 0.9264,                 0.9938,                0.98445,                0.72065,                0.62246,                0.65789,                0.59295,                 0.2145,                 1.1082,                 4.9906,                0.59334,                0.67978,                 1.4693,                0.00062,                0.00062,                0.00062
                     25,                0.73134,                  4.435,                0.61438,                0.52257,                 1.1736,                0.94399,                0.94737,                0.97431,                0.66862,                 0.8089,                0.71053,                0.71643,                0.24596,                 1.0903,                 4.7731,                 0.5763,                0.75216,                  1.352,                0.00056,                0.00056,                0.00056
                     26,                0.66013,                 4.1393,                0.60296,                0.47454,                 1.0777,                0.96945,                0.97368,                0.98847,                0.67431,                0.82633,                0.71053,                0.71983,                 0.2733,                 1.1234,                 4.5516,                0.57372,                0.73392,                 1.4022,                 0.0005,                 0.0005,                 0.0005
                     27,                 0.6808,                 4.3565,                0.60849,                0.48194,                 1.1647,                0.97406,                0.98816,                0.99038,                0.71195,                0.75445,                0.68421,                0.66283,                0.29434,                0.97252,                 4.3926,                0.57434,                0.62067,                 1.3183,                0.00044,                0.00044,                0.00044
                     28,                0.64432,                 4.1167,                0.60199,                0.43816,                 1.0764,                0.94392,                      1,                0.98344,                0.74041,                0.75771,                0.76316,                 0.6892,                 0.2438,                0.89344,                 4.1117,                0.57551,                0.60852,                 1.3191,                0.00038,                0.00038,                0.00038
                     29,                0.62716,                  4.033,                0.58637,                0.41308,                 1.0699,                0.97317,                      1,                0.98628,                0.77259,                0.76508,                0.71053,                0.67221,                0.25467,                 0.9113,                 4.1741,                0.56136,                0.58748,                 1.3464,                0.00032,                0.00032,                0.00032
                     30,                0.61541,                  4.046,                0.58315,                0.42642,                  1.078,                0.94876,                      1,                0.98782,                0.76916,                0.76074,                0.71053,                0.66832,                0.24315,                0.89403,                 4.3502,                0.55664,                0.58136,                 1.2788,                0.00026,                0.00026,                0.00026
                     31,                0.59611,                 4.0047,                0.57102,                0.39521,                 1.0811,                0.92309,                      1,                0.98792,                0.76525,                0.83676,                0.73684,                0.72853,                0.31345,                0.91102,                 4.1323,                0.56132,                0.58849,                  1.268,                 0.0002,                 0.0002,                 0.0002
                     32,                0.57256,                 3.8037,                0.56005,                0.40523,                 1.0558,                0.94859,                0.97122,                0.98687,                0.77536,                0.89597,                0.76316,                0.79795,                0.35814,                0.91217,                 3.9953,                0.56137,                0.58871,                 1.2798,                0.00014,                0.00014,                0.00014
                     33,                0.57913,                 3.8164,                0.58374,                0.40784,                 1.0438,                0.96901,                0.94737,                 0.9893,                0.77979,                0.90864,                0.78947,                0.82625,                0.36116,                0.88942,                 4.0389,                0.56256,                0.58706,                 1.2813,                  8e-05,                  8e-05,                  8e-05
